"","X","DNP","Plot","Treatment","Trt","Rep","ToLine","ToSoil","Depth","CoreHt","Enotes","Flag","BagSampWt","RockWt","TinWt","WetSampTinWt","TotWetSampWt","Snotes","DryTinWt","TNotes","CNWeight","C","N","S","CN","WoodWt","WoodVol","WoodVolEst","CoreVol","RockVol","EffVol","moisture","BagWtChk","TotDrySamplWt","Bulk.Density","OM","Mineral"
"1",1,1,15,"No OA","NOA","B",NA,NA,10,5.1,"","",114.41,26.61,1.62,12.46,105.48,"",12.15,"",96.156,1.74,0.11,0.036,15.8,0,0,0,116.74206,14.0052631578947,102.736796842105,0.0294396961063626,8.92999999999999,75.8535055350554,0.738328504164224,3.01716,96.98284
"2",2,2,15,"No OA","NOA","B",NA,NA,7.5,2.3,"","",50.53,8.56,1.22,12.71,41.69,"",12.43,"",91.96,1.83,0.11,0.065,16.6,0,0,0,52.64838,4.50526315789474,48.1431168421053,0.024977698483497,8.84,32.1140557006092,0.667053938487895,3.17322,96.82678
"3",3,3,15,"No OA","NOA","B",NA,NA,5,2.4,"","",57.41,11.42,1.13,10.69,48.53,"",10.43,"",84.439,1.77,0.11,0.042,16.1,0,0,0,54.93744,6.01052631578947,48.9269136842105,0.0279569892473116,8.88,35.7901464435147,0.731502229519633,3.06918,96.93082
"4",4,4,15,"No OA","NOA","B",NA,NA,0,5.001,"","",99.8,14.86,1.15,12.07,91.15,"",11.27,"",89.981,2.14,0.12,0.078,17.8,0,0,0,114.4758906,7.82105263157895,106.654837968421,0.0790513833992096,8.64999999999999,69.6123443223443,0.652688107247001,3.71076,96.28924
"5",5,5,19,"No Input","NI","A",7.7,7.4,10,5.15,"","",122.83,1.71,1.62,14.38,114.15,"",14.15,"",94.412,1.84,0.14,0.038,13.1,0,0,0,117.88659,0.9,116.98659,0.0183559457302474,8.67999999999999,110.382437304075,0.943547780169293,3.19056,96.80944
"6",6,6,19,"No Input","NI","A",7.7,7.4,7.5,2.45,"","",58.95,0.829,1.63,11.95,50.18,"",11.61,"",92.174,2.268,NA,0.562,NA,0,0,0,56.08197,0.436315789473684,55.6456542105263,0.0340681362725451,8.77,47.6977829457364,0.857169955541894,3.932712,96.067288
"7",7,7,19,"No Input","NI","A",7.7,7.4,5,2.4,"","",48.03,1.19,1.57,10.32,38.66,"",10.04,"",97.782,2.88,0.21,2.206,13.7,0,0,0,54.93744,0.626315789473684,54.3111242105263,0.0330578512396696,9.37,36.23288,0.667135518306533,4.99392,95.00608
"8",8,8,19,"No Input","NI","A",7.7,7.4,2.5,2.4,"","",50.43,0.97,1.15,11.58,41.59,"",11.22,"",101.045,3.69,0.19,0.04,19.4,0,0,0,54.93744,0.510526315789474,54.4269136842105,0.0357497517378351,8.84,39.1844870565676,0.719946886643605,6.39846,93.60154
"9",9,9,19,"No Input","NI","A",7.7,7.4,0,2.6,"","",75.99,4.62,1.17,11.99,67.28,"",11.56,"",97.89,6.61,0.25,0.058,26.4,0,0,0,59.51556,2.43157894736842,57.0839810526316,0.041385948026949,8.70999999999999,59.9862107208873,1.05084140269719,11.46174,88.53826
"10",10,10,16,"Double Wood","DW","A",6.8,7.1,10,5,"","",104,10.5,1,10.48,95.28,"",10.03,"",90.533,2.28,0.15,0.043,15.2,0,0,0,114.453,5.52631578947368,108.926684210526,0.0498338870431895,8.72,80.2572151898734,0.736800314556143,3.95352,96.04648
"11",11,11,16,"Double Wood","DW","A",6.8,7.1,7.5,2.43,"","",47.01,7.83,1.15,10.92,38.33,"",10.57,"",93.389,3.21,0.18,2.818,17.8,0,0,0,55.624158,4.12105263157895,51.5031053684211,0.0371549893842887,8.68,29.1268679631525,0.565536150777649,5.56614,94.43386
"12",12,12,16,"Double Wood","DW","A",6.8,7.1,5,2.5,"","",49.37,3.17,1.13,9.11,40.7,"",8.84,"",84.646,3.99,0.2,0.067,20,0.63,1.6,2,57.2265,1.66842105263158,53.9580789473684,0.0350194552529182,8.66999999999999,35.5229323308271,0.658343162392358,6.91866,93.08134
"13",13,13,16,"Double Wood","DW","A",6.8,7.1,2.5,2.5,"","",43.85,5.98,1.13,11.9,35,"",11.48,"",83.851,5.08,0.23,0.072,22.1,0,0,0,57.2265,3.14736842105263,54.0791315789474,0.0405797101449274,8.85,27.6550974930362,0.511382055990746,8.80872,91.19128
"14",14,14,16,"Double Wood","DW","A",6.8,7.1,0,2.5,"","",56.48,15.77,1.15,9.65,47.67,"",9.29,"",83.288,10.16,0.37,0.078,27.5,0,0,0,57.2265,8.3,48.9265,0.0442260442260444,8.81,29.8810352941176,0.610733146538535,17.61744,82.38256
"15",15,15,2,"Double Litter","DL","B",6.7,6.8,10,4.92,"","",114.64,0,1,13.27,106.16,"",12.49,"",82.045,2.84,0.18,0.045,15.8,0,0,0,112.621752,0,112.621752,0.0678851174934725,8.48,99.4114425427873,0.882701971665183,4.92456,95.07544
"16",16,16,2,"Double Litter","DL","B",6.7,6.8,7.5,2.5,"","",54.2,2.68,1.12,11.98,45.65,"",11.69,"",92.471,2.9,0.18,0.041,16.1,0,0,0,57.2265,1.41052631578947,55.8159736842105,0.0274361400189214,8.55,41.750985267035,0.748011411630103,5.0286,94.9714
"17",17,17,2,"Double Litter","DL","B",6.7,6.8,5,2.57,"","",53.65,2.71,1.15,10.82,44.85,"",10.54,"",93.852,3.47,0.19,0.042,18.3,0,0,0,58.828842,1.42631578947368,57.4025262105263,0.0298189563365283,8.8,40.8413443640124,0.711490365671799,6.01698,93.98302
"18",18,18,2,"Double Litter","DL","B",6.7,6.8,2.5,2.51,"","",43.09,0,1.62,10.48,33.03,"",10.19,"",97.687,4.15,0.25,0.086,16.6,0.53,1.5,4,57.455406,0,55.955406,0.0338389731621936,10.06,31.4188826185102,0.561498608704763,7.1961,92.8039
"19",19,19,2,"Double Litter","DL","B",6.7,6.8,0,2.4,"","",64.72,1.7,1.6,10.72,55.81,"",9.84,"",87.03,8.01,0.33,0.982,24.3,0,0,0,54.93744,0.894736842105263,54.0427031578947,0.106796116504854,8.91,48.7248245614035,0.90159858249588,13.88934,86.11066
"20",20,20,15,"No OA","NOA","A",6.7,8.4,10,5.1,"Big chunk of wood in core","X",124.22,31.89,1.16,10.02,115.39,"",9.48,"",87.615,1.42,0.09,0.047,15.8,12.95,14,22,116.74206,16.7842105263158,85.9578494736842,0.064903846153846,8.83,63.5172009029345,0.738934271760489,2.46228,97.53772
"21",21,21,15,"No OA","NOA","A",6.7,8.4,7.5,2.25,"","",46,7.2,1.14,12.45,37.48,"",12.15,"",86.932,1.78,0.1,0.039,17.8,0,0,0,51.50385,3.78947368421053,47.7143763157895,0.0272479564032697,8.52,29.2858355437666,0.613773830971681,3.08652,96.91348
"22",22,22,15,"No OA","NOA","A",6.7,8.4,5,2.75,"Spilled, weight NOT accurate","X",58.47,10.26,1.62,10.89,49.67,"",10.46,"",97.727,1.84,0.1,0.039,18.4,0,0,0,62.94915,5.4,57.54915,0.0486425339366515,8.8,37.1059978425027,0.644770562944938,3.19056,96.80944
"23",23,23,15,"No OA","NOA","A",6.7,8.4,0,5.001,"","",94.8,11.63,1.45,13.45,85.95,"",12.33,"",97.682,2.39,0.12,0.05,19.9,0,0,0,114.4758906,6.12105263157895,108.354837968421,0.102941176470588,8.84999999999999,66.298,0.611860081589729,4.14426,95.85574
"24",24,24,2,"Double Litter","DL","C",6.9,6.9,10,4.97,"","",117.49,1.76,1.4,13.03,108.33,"",10.76,"",86.992,2.66,0.16,1.744,16.6,0.36,1,3,113.766282,0.926315789473684,111.839966210526,0.242521367521367,9.16,85.0656233877902,0.760601297282794,4.61244,95.38756
