"","Trt","Depth","n","bd_mean","bd_sterr"
"1","CTL",0,6,0.595187356710934,0.0789098368281397
"2","CTL",2.5,5,0.587057436278532,0.0642340515391648
"3","CTL",5,7,0.606697836056998,0.0876890227819338
"4","CTL",7.5,8,0.633240798006904,0.0713086860350438
"5","CTL",10,8,0.803327714379071,0.04560103136947
"6","DL",0,7,0.738051797533848,0.122367960189155
"7","DL",2.5,7,0.532981878231126,0.0601241285729758
"8","DL",5,6,0.701861956663086,0.0560352985599338
"9","DL",7.5,7,0.65374010871017,0.0605884868207881
"10","DL",10,7,0.80700411042004,0.0399464476740716
"11","DW",0,8,0.334691929053972,0.0749727524917394
"12","DW",2.5,5,0.491825364135368,0.0716065674497604
"13","DW",5,8,0.518911342354437,0.0886521224654157
"14","DW",7.5,8,0.64703975156272,0.0753112984753464
"15","DW",10,8,0.767368353857364,0.0402884927197163
"16","NI",0,9,0.995195126999542,0.0797447439731429
"17","NI",2.5,7,0.688779552687539,0.0299219343375081
"18","NI",5,8,0.701693517391287,0.0392328783105152
"19","NI",7.5,6,0.781439997922739,0.0466260342270647
"20","NI",10,7,0.921018638712306,0.0399708887686353
"21","NL",0,5,0.840921777993481,0.0948057584195456
"22","NL",2.5,6,0.645713354123895,0.0607378881885959
"23","NL",5,7,0.750017010952306,0.0664600200192806
"24","NL",7.5,11,0.755203729070529,0.0321292171603182
"25","NL",10,7,0.839689356489202,0.0327014253353507
"26","NOA",0,7,1.33125884329429,0.157441772826236
"27","NOA",2.5,5,0.84181510068311,0.0805637370366318
"28","NOA",5,5,0.665308021797143,0.0844834780818404
"29","NOA",7.5,7,0.807880446804725,0.0790178078493282
"30","NOA",10,6,0.822472858184757,0.078176819537798
"31","NR",0,9,0.71475420222681,0.0995351614881967
"32","NR",2.5,7,0.72181574409642,0.0614995735079505
"33","NR",5,9,0.877200570515148,0.170849371131231
"34","NR",7.5,7,0.83819305724464,0.0469754650390437
"35","NR",10,8,0.829265437975176,0.044852259346261
