"","DNPF","Plot","Treatment","TRT","Depth","bulk_percC","bulk_percN","LF_wt","LF_percC","LF_percN","IF_wt","IF_percC","IF_percN","HF_wt","HF_percC","HF_percN"
"1",1,1,"No Root","NR","0-10",5.77,0.251,3.77,31.81,0.791,12.9,4.58,0.302,20.8,1.45,0.101
"2",2,2,"Double Litter","DL","0-10",3.59,0.175,2.77,31.34,0.856,11.89,4.17,0.298,23.14,1.22,0.084
"3",3,3,"No Litter","NL","0-10",5.73,0.209,4.08,32.9,0.775,9.77,5.23,0.31,23.8,1.03,0.073
"4",4,4,"No Root","NR","0-10",4.04,0.206,2.18,31.78,0.728,7.06,3.83,0.315,29.19,1.09,0.097
"5",5,5,"Double Wood","DW","0-10",3.73,0.16,4.71,23.65,0.531,8.65,2.84,0.19,25.13,0.89,0.073
"6",6,6,"No Root","NR","0-10",5.38,0.223,5.88,26.39,0.589,8.73,5.13,0.333,23.69,1.38,0.106
"7",7,7,"No Litter","NL","0-10",4.12,0.184,5.42,26.65,0.562,8.9,3.94,0.281,23.24,1.06,0.083
"8",8,8,"Control","CTL","0-10",4.836,0.186,5.05,21.26,0.551,12.37,2.99,0.194,20.02,1.1,0.096
"9",9,9,"No OA","NOA","0-10",1.37,0.073,1.02,24.3,0.597,9.21,1.53,0.137,26.43,0.35,0.031
"10",10,10,"Double Wood","DW","0-10",6.85,0.233,13.85,17.55,0.479,10.04,2.24,0.157,11.85,0.56,0.049
"11",11,11,"No Litter","NL","0-10",4.31,0.182,5.11,21.43,0.513,11.34,2.63,0.182,19.52,0.82,0.064
"12",12,12,"Control","CTL","0-10",6.407,0.199,3.92,19.92,0.469,10.83,3.69,0.234,21.29,1.11,0.091
"13",13,13,"Double Litter","DL","0-10",4.31,0.195,4.79,22.43,0.548,10.66,3.26,0.217,21.86,1.1,0.087
"14",14,14,"Control","CTL","0-10",3.66,0.131,3.77,22.77,0.553,9.8,2.42,0.155,23.73,0.77,0.064
"15",15,15,"No OA","NOA","0-10",2.78,0.121,1.35,25.35,0.594,5.85,3.21,0.229,30.41,0.61,0.046
"16",16,16,"Double Wood","DW","0-10",7.95,0.265,17.98,18.54,0.558,8.83,4.7,0.273,9.19,1.09,0.069
"17",17,17,"Double Litter","DL","0-10",6.93,0.275,5.31,23.64,0.639,7.77,7.17,0.406,29.32,0.99,0.089
"18",18,18,"No OA","NOA","0-10",2.68,0.139,3.72,19.74,0.6,9.31,2.52,0.215,23.7,0.49,0.044
"19",19,19,"No Input","NI","0-10",4.74,0.188,4,27.09,0.666,5.18,5.8,0.363,28.51,1.33,0.092
"20",20,49,"No Input","NI","0-10",3.72,0.156,2.4,28.47,0.515,6.07,4.35,0.319,23.52,1.43,0.13
"21",21,69,"No Input","NI","0-10",3.97,0.176,3.79,27.15,0.638,6.04,6.45,0.396,27.71,1.44,0.112
"22",22,1,"No Root","NR","10-20",2.83,0.15,1.09,25.09,0.607,6.51,4.93,0.354,30.11,1.29,0.092
"23",23,2,"Double Litter","DL","10-20",3.04,0.16,1.44,24.65,0.629,7.6,3.87,0.296,28.38,1.12,0.084
"24",24,3,"No Litter","NL","10-20",2.56,0.132,1.7,22.54,0.571,7.11,3.34,0.288,27.75,1.17,0.088
"25",25,4,"No Root","NR","10-20",2.57,0.16,1.3,28.81,0.635,8.09,4.15,0.292,28.99,0.96,0.087
"26",26,5,"Double Wood","DW","10-20",2.23,0.122,1.94,26.64,0.573,8.16,3.1,0.238,28.26,0.93,0.075
"27",27,6,"No Root","NR","10-20",2.96,0.17,0.99,28.88,0.592,8.58,3.72,0.297,27.22,1.16,0.103
"28",28,7,"No Litter","NL","10-20",1.87,0.111,0.64,26.37,0.53,8.62,2.32,0.202,28.02,0.76,0.071
"29",29,8,"Control","CTL","10-20",2.01,0.12,1.08,26.32,0.531,11.57,1.83,0.157,23.15,0.88,0.082
"30",30,9,"No OA","NOA","10-20",1.17,0.058,0.66,25.21,0.523,7.96,1.51,0.131,27.78,0.3,0.04
"31",31,10,"Double Wood","DW","10-20",2.25,0.101,2.04,24.65,0.466,11.16,1.61,0.117,22.9,0.63,0.05
"32",32,11,"No Litter","NL","10-20",2.75,0.132,1.68,21.61,0.447,13,1.92,0.13,21.76,0.73,0.053
"33",33,12,"Control","CTL","10-20",2.94,0.143,1.61,23.74,0.519,9.21,3.52,0.229,25.45,1.03,0.081
"34",34,13,"Double Litter","DL","10-20",3.24,0.15,2.3,22.84,0.579,11.04,2.59,0.183,23.7,0.84,0.054
"35",35,14,"Control","CTL","10-20",1.95,0.096,1.24,27.48,0.601,6.26,3.06,0.207,30.13,0.68,0.054
"36",36,15,"No OA","NOA","10-20",2.03,0.098,0.94,30.65,0.611,7.2,2.42,0.187,29.76,0.58,0.039
"37",37,16,"Double Wood","DW","10-20",5.9,0.19,4.2,29.8,0.677,8.36,5.61,0.312,25.3,1.46,0.083
"38",38,17,"Double Litter","DL","10-20",2.63,0.158,0.99,30.09,0.644,6.09,4.18,0.331,31.04,NA,NA
"39",39,18,"No OA","NOA","10-20",3.3,0.146,2.54,22.03,0.574,11.24,2.89,0.206,23.39,0.51,0.048
"40",40,19,"No Input","NI","10-20",2.69,0.145,1.17,30.61,0.679,4.17,4.52,0.31,33.38,0.95,0.073
"41",41,49,"No Input","NI","10-20",1.67,0.151,0.43,31.97,0.591,5.4,2.21,0.209,31.63,0.55,0.055
"42",42,69,"No Input","NI","10-20",3.16,0.164,2.01,27.13,0.646,5.2,5.16,0.38,30.88,NA,NA
"43",43,19,"No Input","NI","20-40",2.06,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,18,"No OA","NOA","20-40",1.9,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,17,"Double Litter","DL","20-40",1.91,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,16,"Double Wood","DW","20-40",3.32,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,15,"No OA","NOA","20-40",2.19,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,14,"Control","CTL","20-40",1.89,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,13,"Double Litter","DL","20-40",1.63,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,12,"Control","CTL","20-40",2.3,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,69,"No Input","NI","20-40",1.39,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,49,"No Input","NI","20-40",1.09,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,5,"Double Wood","DW","20-40",2.1,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,1,"No Root","NR","20-40",2.41,0.139,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,6,"No Root","NR","20-40",2.05,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,2,"Double Litter","DL","20-40",2.22,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,3,"No Litter","NL","20-40",2.25,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,4,"No Root","NR","20-40",1.82,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,7,"No Litter","NL","20-40",1.41,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,8,"Control","CTL","20-40",1.98,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,9,"No OA","NOA","20-40",1.13,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,10,"Double Wood","DW","20-40",1.59,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,11,"No Litter","NL","20-40",1.75,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,1,"No Root","NR","40-60",0.94,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,2,"Double Litter","DL","40-60",1.32,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,3,"No Litter","NL","40-60",1.72,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,4,"No Root","NR","40-60",1,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,5,"Double Wood","DW","40-60",0.83,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,6,"No Root","NR","40-60",0.8,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,7,"No Litter","NL","40-60",0.71,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,8,"Control","CTL","40-60",1.19,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,9,"No OA","NOA","40-60",1.21,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,10,"Double Wood","DW","40-60",1.18,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,11,"No Litter","NL","40-60",1.02,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,12,"Control","CTL","40-60",1.69,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,13,"Double Litter","DL","40-60",0.94,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,14,"Control","CTL","40-60",0.99,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,15,"No OA","NOA","40-60",1.4,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
