"","TRT","Depth","avg","n","sd","se"
"1","CTL","0-10",4.96766666666667,3,1.37822506628393,0.795718613022915
"2","CTL","10-20",2.3,3,0.555067563455117,0.320468407179241
"3","CTL","20-40",2.05666666666667,3,0.21548395145192,0.12440971737681
"4","CTL","40-60",1.29,3,0.360555127546399,0.208166599946613
"5","CTL","60-100",0.63,3,0.147986485869487,0.0854400374531753
"6","DL","0-10",4.94333333333333,3,1.75776373080495,1.014845363152
"7","DL","10-20",2.97,3,0.310966236109324,0.179536440126603
"8","DL","20-40",1.92,3,0.295127091267474,0.170391705588428
"9","DL","40-60",1.08666666666667,3,0.204287379280594,0.117945373419694
"10","DL","60-100",0.81,3,0.272213151776324,0.157162336455017
"11","DW","0-10",6.17666666666667,3,2.18909418101034,1.26387411468776
"12","DW","10-20",3.46,3,2.11312564699783,1.2200136611257
"13","DW","20-40",2.33666666666667,3,0.888950692295885,0.513235921493333
"14","DW","40-60",1.34666666666667,3,0.61711695271912,0.356292638773866
"15","DW","60-100",0.83,3,0.39344631145812,0.227156333832011
"16","NI","0-10",4.14333333333333,3,0.531632705289407,0.306938285508848
"17","NI","10-20",2.50666666666667,3,0.761730486020701,0.439785301153996
"18","NI","20-40",1.51333333333333,3,0.496621921921831,0.286724800307039
"19","NI","40-60",0.716666666666667,3,0.11060440015358,0.0638574802022267
"20","NI","60-100",0.413333333333333,3,0.181475434517549,0.104774890970011
"21","NL","0-10",4.72,3,0.879829528942966,0.507969815376203
"22","NL","10-20",2.39333333333333,3,0.46306946923041,0.267353282713674
"23","NL","20-40",1.80333333333333,3,0.422532050066422,0.243948992847093
"24","NL","40-60",1.15,3,0.517397332811061,0.298719489376461
"25","NL","60-100",0.493333333333333,3,0.205264057577875,0.118509258897541
"26","NOA","0-10",2.27666666666667,3,0.786786714004077,0.454251521125075
"27","NOA","10-20",2.16666666666667,3,1.07155650029914,0.6186634338996
"28","NOA","20-40",1.74,3,0.547813836992094,0.316280466253187
"29","NOA","40-60",1.19666666666667,3,0.210317220724631,0.12142670400058
"30","NOA","60-100",0.556666666666667,3,0.170391705588427,0.0983756970891581
"31","NR","0-10",5.06333333333333,3,0.907432274791531,0.523906268122245
"32","NR","10-20",2.78666666666667,3,0.198578280114753,0.114649223479466
"33","NR","20-40",2.09333333333333,3,0.297377425729213,0.171690936795679
"34","NR","40-60",0.913333333333333,3,0.102632028788938,0.0592546294487706
"35","NR","60-100",0.463333333333333,3,0.101159939369957,0.0584047182264508
