"","TRT","Depth","n","mean","stdev","sterr"
"1","CTL","0-10",3,49.6766666666667,13.7822506628393,7.95718613022915
"2","CTL","10-20",3,23,5.55067563455117,3.20468407179241
"3","CTL","20-40",3,20.5666666666667,2.1548395145192,1.2440971737681
"4","CTL","40-60",3,12.9,3.60555127546399,2.08166599946613
"5","CTL","60-100",3,6.3,1.47986485869487,0.854400374531753
"6","DL","0-10",3,49.4333333333333,17.5776373080495,10.14845363152
"7","DL","10-20",3,29.7,3.10966236109325,1.79536440126603
"8","DL","20-40",3,19.2,2.95127091267474,1.70391705588428
"9","DL","40-60",3,10.8666666666667,2.04287379280594,1.17945373419694
"10","DL","60-100",3,8.1,2.72213151776324,1.57162336455017
"11","DW","0-10",3,61.7666666666667,21.8909418101034,12.6387411468776
"12","DW","10-20",3,34.6,21.1312564699783,12.200136611257
"13","DW","20-40",3,23.3666666666667,8.88950692295885,5.13235921493333
"14","DW","40-60",3,13.4666666666667,6.17116952719121,3.56292638773866
"15","DW","60-100",3,8.3,3.9344631145812,2.27156333832011
"16","NI","0-10",3,41.4333333333333,5.31632705289407,3.06938285508848
"17","NI","10-20",3,25.0666666666667,7.61730486020701,4.39785301153996
"18","NI","20-40",3,15.1333333333333,4.96621921921831,2.86724800307039
"19","NI","40-60",3,7.16666666666667,1.1060440015358,0.638574802022267
"20","NI","60-100",3,4.13333333333333,1.81475434517549,1.04774890970011
"21","NL","0-10",3,47.2,8.79829528942965,5.07969815376203
"22","NL","10-20",3,23.9333333333333,4.6306946923041,2.67353282713674
"23","NL","20-40",3,18.0333333333333,4.22532050066422,2.43948992847093
"24","NL","40-60",3,11.5,5.17397332811061,2.98719489376461
"25","NL","60-100",3,4.93333333333333,2.05264057577875,1.18509258897541
"26","NOA","0-10",3,22.7666666666667,7.86786714004077,4.54251521125075
"27","NOA","10-20",3,21.6666666666667,10.7155650029914,6.186634338996
"28","NOA","20-40",3,17.4,5.47813836992094,3.16280466253187
"29","NOA","40-60",3,11.9666666666667,2.10317220724631,1.2142670400058
"30","NOA","60-100",3,5.56666666666667,1.70391705588427,0.983756970891581
"31","NR","0-10",3,50.6333333333333,9.07432274791531,5.23906268122245
"32","NR","10-20",3,27.8666666666667,1.98578280114753,1.14649223479466
"33","NR","20-40",3,20.9333333333333,2.97377425729213,1.71690936795679
"34","NR","40-60",3,9.13333333333333,1.02632028788938,0.592546294487706
"35","NR","60-100",3,4.63333333333333,1.01159939369957,0.584047182264508
