"","Plot","Trt","bulkden_mean","bulkden_stderr"
"1",1,"NR",0.709689090020844,0.130201165257097
"2",2,"DL",0.704397972273771,0.0799597059990921
"3",3,"NL",0.653933133147747,0.129536466724225
"4",4,"NR",0.873691801640099,0.0658196061987949
"5",5,"DW",0.526741095722217,0.130309747732374
"6",6,"NR",0.743356691077604,0.227408633334164
"7",7,"NL",0.850277797230453,0.0395416637576008
"8",8,"CTL",0.665226968281863,0.0529230104370967
"9",9,"NOA",0.950992081554173,0.141541138052263
"10",10,"DW",0.452421796745231,0.213053367159733
"11",11,"NL",0.722861779514421,0.0554793762460006
"12",12,"CTL",0.540106534085062,0.145390241712732
"13",13,"DL",0.601605051175469,NA
"14",14,"CTL",0.6134329873789,0.228015079725657
"15",15,"NOA",0.612816956280705,NA
"16",16,"DW",0.506883619192301,0.104490678676336
"17",17,"DL",0.636167863879704,0.157591769528749
"18",18,"NOA",0.944168726724222,0.104951157086595
"19",19,"NI",0.781932037412688,0.0554857126732817
"20",49,"NI",0.832970629087865,0.0576884631671521
"21",69,"NI",0.763194755856196,0.109598983251512
