,DNP,Plot,Treatment,Trt,Rep,ToLine,ToSoil,Depth,CoreHt,Enotes,Flag,BagSampWt,RockWt,TinWt,WetSampTinWt,TotWetSampWt,Snotes,DryTinWt,TNotes,CNWeight,C,N,S,CN,WoodWt,WoodVol,WoodVolEst
1,1,15,No OA,NOA,B,NA,NA,10,5.1,,,114.41,26.61,1.62,12.46,105.48,,12.15,,96.156,1.74,0.11,0.036,15.8,0,0,0
2,2,15,No OA,NOA,B,NA,NA,7.5,2.3,,,50.53,8.56,1.22,12.71,41.69,,12.43,,91.96,1.83,0.11,0.065,16.6,0,0,0
3,3,15,No OA,NOA,B,NA,NA,5,2.4,,,57.41,11.42,1.13,10.69,48.53,,10.43,,84.439,1.77,0.11,0.042,16.1,0,0,0
4,4,15,No OA,NOA,B,NA,NA,0,5.001,,,99.8,14.86,1.15,12.07,91.15,,11.27,,89.981,2.14,0.12,0.078,17.8,0,0,0
5,5,19,No Input,NI,A,7.7,7.4,10,5.15,,,122.83,1.71,1.62,14.38,114.15,,14.15,,94.412,1.84,0.14,0.038,13.1,0,0,0
6,6,19,No Input,NI,A,7.7,7.4,7.5,2.45,,,58.95,0.829,1.63,11.95,50.18,,11.61,,92.174,2.268,NA,0.562,NA,0,0,0
7,7,19,No Input,NI,A,7.7,7.4,5,2.4,,,48.03,1.19,1.57,10.32,38.66,,10.04,,97.782,2.88,0.21,2.206,13.7,0,0,0
8,8,19,No Input,NI,A,7.7,7.4,2.5,2.4,,,50.43,0.97,1.15,11.58,41.59,,11.22,,101.045,3.69,0.19,0.04,19.4,0,0,0
9,9,19,No Input,NI,A,7.7,7.4,0,2.6,,,75.99,4.62,1.17,11.99,67.28,,11.56,,97.89,6.61,0.25,0.058,26.4,0,0,0
10,10,16,Double Wood,DW,A,6.8,7.1,10,5,,,104,10.5,1,10.48,95.28,,10.03,,90.533,2.28,0.15,0.043,15.2,0,0,0
11,11,16,Double Wood,DW,A,6.8,7.1,7.5,2.43,,,47.01,7.83,1.15,10.92,38.33,,10.57,,93.389,3.21,0.18,2.818,17.8,0,0,0
