"","DNP","Plot","Rep","Depth","Trt","Label","RockWt","RootWt","Notes"
"1",1,15,"B",10,"NOA",NA,NA,NA,NA
"2",2,15,"B",7.5,"NOA","Rocks",8.455,NA,""
"3",3,15,"B",5,"NOA","Rocks",11.34,NA,""
"4",4,15,"B",0,"NOA",NA,NA,NA,NA
"5",5,19,"A",10,"NI",NA,NA,NA,NA
"6",6,19,"A",7.5,"NI","Bulk",0.83,0,"root weight cannot be detected by scale- too small"
"7",7,19,"A",5,"NI","Bulk",1.219,0.009,""
"8",8,19,"A",2.5,"NI",NA,NA,NA,NA
"9",9,19,"A",0,"NI","Rocks",4.671,NA,""
"10",10,16,"A",10,"DW","rocks",7.416,NA,""
"11",11,16,"A",7.5,"DW",NA,NA,NA,NA
"12",12,16,"A",5,"DW","Roots",NA,0.694,""
"13",13,16,"A",2.5,"DW",NA,NA,NA,NA
"14",14,16,"A",0,"DW",NA,NA,NA,NA
"15",15,2,"B",10,"DL",NA,NA,NA,NA
"16",16,2,"B",7.5,"DL","Rocks",2.761,NA,""
"17",17,2,"B",5,"DL","Rock",2.107,NA,""
"18",18,2,"B",2.5,"DL","wood",NA,0.666,""
"19",19,2,"B",0,"DL",NA,NA,NA,NA
"20",20,15,"A",10,"NOA","wood/charcoal",NA,0.005,""
"21",21,15,"A",7.5,"NOA","Rocks",7.215,NA,""
"22",22,15,"A",5,"NOA",NA,NA,NA,NA
"23",23,15,"A",0,"NOA",NA,NA,NA,NA
"24",24,2,"C",10,"DL","aRoots",NA,0.392,""
"25",25,2,"C",7.5,"DL","aRoots",NA,0.871,""
"26",26,2,"C",5,"DL","Roots",NA,0.364,""
"27",27,2,"C",2.5,"DL",NA,NA,NA,NA
"28",28,2,"C",0,"DL",NA,NA,NA,NA
"29",29,19,"C",10,"NI",NA,NA,NA,NA
"30",30,19,"C",7.5,"NI",NA,NA,NA,NA
"31",31,19,"C",5,"NI",NA,NA,NA,NA
"32",32,19,"C",2.5,"NI",NA,NA,NA,NA
"33",33,19,"C",0,"NI",NA,NA,NA,NA
"34",34,15,"C",10,"NOA","Roots",NA,0.235,""
"35",35,15,"C",7.5,"NOA","Roots",NA,0.384,""
"36",36,15,"C",5,"NOA","Roots",NA,0.486,""
"37",37,15,"C",2.5,"NOA",NA,NA,NA,NA
"38",38,15,"C",0,"NOA",NA,NA,NA,NA
"39",39,3,"B",10,"NL","Root+wood",NA,0.116,""
"40",40,3,"B",7.5,"NL",NA,NA,NA,NA
"41",41,3,"B",5,"NL",NA,NA,NA,NA
"42",42,3,"B",2.5,"NL",NA,NA,NA,NA
"43",43,3,"B",0,"NL",NA,NA,NA,NA
"44",44,19,"B",10,"NI","Roots",NA,0.243,""
"45",45,19,"B",7.5,"NI",NA,NA,NA,NA
"46",46,19,"B",5,"NI","Bulk",0.614,0,"root weight cannot be detected by scale- too small"
"47",47,19,"B",2.5,"NI","Bulk",1.814,0.032,""
"48",48,19,"B",0,"NI",NA,NA,NA,NA
"49",49,2,"A",10,"DL",NA,NA,NA,NA
"50",50,2,"A",7.5,"DL","Bulk",6.863,0.004,""
"51",51,2,"A",5,"DL","Bulk",6.447,0.036,""
"52",52,2,"A",2.5,"DL","Bulk",0.698,0.212,""
"53",53,2,"A",0,"DL","Root+charcoal",NA,0.131,""
"54",54,3,"B",10,"NL",NA,NA,NA,NA
"55",55,3,"B",7.5,"NL","wood+roots",NA,0.36,"there is a piece of stick that I do not know it is wood or root"
"56",56,3,"B",5,"NL","Rocks",16.151,NA,""
