JAR,AMENDMENT,TRT,DAY,HOUR,X12C,X13C
16,LIGNIN,CTL,0,0,0,0
17,LIGNIN,CTL,0,0,0,0
18,LIGNIN,CTL,0,0,0,0
52,LIGNIN,DW,0,0,0,0
53,LIGNIN,DW,0,0,0,0
54,LIGNIN,DW,0,0,0,0
88,LIGNIN,DL,0,0,0,0
89,LIGNIN,DL,0,0,0,0
90,LIGNIN,DL,0,0,0,0
124,LIGNIN,NI,0,0,0,0
125,LIGNIN,NI,0,0,0,0
126,LIGNIN,NI,0,0,0,0
160,LIGNIN,NR,0,0,0,0
161,LIGNIN,NR,0,0,0,0
162,LIGNIN,NR,0,0,0,0
7,CELLULOSE,CTL,0,0,0,0
8,CELLULOSE,CTL,0,0,0,0
9,CELLULOSE,CTL,0,0,0,0
25,OXALATE,CTL,0,0,0,0
26,OXALATE,CTL,0,0,0,0
27,OXALATE,CTL,0,0,0,0
34,PHENOL,CTL,0,0,0,0
35,PHENOL,CTL,0,0,0,0
36,PHENOL,CTL,0,0,0,0
43,CELLULOSE,DW,0,0,0,0
44,CELLULOSE,DW,0,0,0,0
45,CELLULOSE,DW,0,0,0,0
61,OXALATE,DW,0,0,0,0
62,OXALATE,DW,0,0,0,0
63,OXALATE,DW,0,0,0,0
70,PHENOL,DW,0,0,0,0
71,PHENOL,DW,0,0,0,0
72,PHENOL,DW,0,0,0,0
79,CELLULOSE,DL,0,0,0,0
80,CELLULOSE,DL,0,0,0,0
81,CELLULOSE,DL,0,0,0,0
97,OXALATE,DL,0,0,0,0
98,OXALATE,DL,0,0,0,0
99,OXALATE,DL,0,0,0,0
106,PHENOL,DL,0,0,0,0
107,PHENOL,DL,0,0,0,0
108,PHENOL,DL,0,0,0,0
115,CELLULOSE,NI,0,0,0,0
116,CELLULOSE,NI,0,0,0,0
117,CELLULOSE,NI,0,0,0,0
133,OXALATE,NI,0,0,0,0
134,OXALATE,NI,0,0,0,0
135,OXALATE,NI,0,0,0,0
142,PHENOL,NI,0,0,0,0
143,PHENOL,NI,0,0,0,0
144,PHENOL,NI,0,0,0,0
151,CELLULOSE,NR,0,0,0,0
152,CELLULOSE,NR,0,0,0,0
153,CELLULOSE,NR,0,0,0,0
169,OXALATE,NR,0,0,0,0
170,OXALATE,NR,0,0,0,0
171,OXALATE,NR,0,0,0,0
178,PHENOL,NR,0,0,0,0
179,PHENOL,NR,0,0,0,0
180,PHENOL,NR,0,0,0,0
7,CELLULOSE,CTL,1,24,34.29,0.063
8,CELLULOSE,CTL,1,24,35.775,0.061
9,CELLULOSE,CTL,1,24,34.697,0.056
25,OXALATE,CTL,1,24,40.483,7.371
26,OXALATE,CTL,1,24,41.45,6.809
27,OXALATE,CTL,1,24,41.021,6.397
34,PHENOL,CTL,1,24,40.565,1.883
35,PHENOL,CTL,1,24,41.192,2.027
36,PHENOL,CTL,1,24,44.661,2.022
43,CELLULOSE,DW,1,24,44.441,0.127
44,CELLULOSE,DW,1,24,45.556,0.123
45,CELLULOSE,DW,1,24,46.092,0.113
61,OXALATE,DW,1,24,68.846,11.965
62,OXALATE,DW,1,24,76.841,12.97
63,OXALATE,DW,1,24,70.789,11.173
70,PHENOL,DW,1,24,56.43,3.876
71,PHENOL,DW,1,24,62.141,3.791
72,PHENOL,DW,1,24,61.638,3.783
79,CELLULOSE,DL,1,24,44.688,0.072
80,CELLULOSE,DL,1,24,40.499,0.065
81,CELLULOSE,DL,1,24,39.4,0.062
97,OXALATE,DL,1,24,57.466,10.885
98,OXALATE,DL,1,24,57.902,10.328
99,OXALATE,DL,1,24,56.953,9.97
106,PHENOL,DL,1,24,54.264,2.214
107,PHENOL,DL,1,24,54.817,2.213
108,PHENOL,DL,1,24,53.577,2.13
115,CELLULOSE,NI,1,24,29.269,0.051
116,CELLULOSE,NI,1,24,24.688,0.046
117,CELLULOSE,NI,1,24,20.839,0.042
133,OXALATE,NI,1,24,40.337,10
134,OXALATE,NI,1,24,42.106,10.604
135,OXALATE,NI,1,24,49.682,10.269
142,PHENOL,NI,1,24,32.37,2.163
143,PHENOL,NI,1,24,29.611,1.911
144,PHENOL,NI,1,24,24.173,1.519
151,CELLULOSE,NR,1,24,36.968,0.093
152,CELLULOSE,NR,1,24,33.939,0.069
153,CELLULOSE,NR,1,24,35.519,0.063
169,OXALATE,NR,1,24,55.548,11.367
170,OXALATE,NR,1,24,59.754,11.854
171,OXALATE,NR,1,24,55.777,11.389
178,PHENOL,NR,1,24,41.707,2.06
179,PHENOL,NR,1,24,43.932,2.072
180,PHENOL,NR,1,24,44.193,2.154
7,CELLULOSE,CTL,2,42,54.138,0.099
8,CELLULOSE,CTL,2,42,57.071,0.095
9,CELLULOSE,CTL,2,42,49.637,0.088
25,OXALATE,CTL,2,42,68.157,11.573
26,OXALATE,CTL,2,42,66.69,9.8
27,OXALATE,CTL,2,42,65.801,9.035
34,PHENOL,CTL,2,42,63.024,2.181
35,PHENOL,CTL,2,42,63.3,2.34
36,PHENOL,CTL,2,42,69.22,2.356
43,CELLULOSE,DW,2,42,74.405,0.201
44,CELLULOSE,DW,2,42,75.896,0.182
45,CELLULOSE,DW,2,42,76.832,0.162
61,OXALATE,DW,2,42,99.913,13.144
62,OXALATE,DW,2,42,111.398,14.238
63,OXALATE,DW,2,42,102.583,12.103
70,PHENOL,DW,2,42,88.866,4.397
71,PHENOL,DW,2,42,96.396,4.216
72,PHENOL,DW,2,42,93.418,4.191
79,CELLULOSE,DL,2,42,73.365,0.114
80,CELLULOSE,DL,2,42,65.223,0.104
81,CELLULOSE,DL,2,42,65.27,0.1
97,OXALATE,DL,2,42,83.844,11.915
98,OXALATE,DL,2,42,82.48,11.088
99,OXALATE,DL,2,42,84.653,10.862
106,PHENOL,DL,2,42,83.403,2.56
107,PHENOL,DL,2,42,78.652,2.441
108,PHENOL,DL,2,42,84.136,2.5
115,CELLULOSE,NI,2,42,44.419,0.083
116,CELLULOSE,NI,2,42,38.914,0.072
117,CELLULOSE,NI,2,42,33.79,0.066
133,OXALATE,NI,2,42,57.439,12.016
134,OXALATE,NI,2,42,57.133,11.995
135,OXALATE,NI,2,42,65.254,11.797
142,PHENOL,NI,2,42,49.617,2.811
143,PHENOL,NI,2,42,45.922,2.59
144,PHENOL,NI,2,42,36.311,2.113
151,CELLULOSE,NR,2,42,58.249,0.181
