Depth,TRT,n,mean,stdev,sterr,avg_bulkden,lyr_height,C_stock,C_stock_sterr
0-10,CTL,3,49.7,13.78,7.96,0.61,10.00,3.01,0.48
10-20,CTL,3,23.0,5.55,3.20,0.83,10.00,1.90,0.26
20-40,CTL,3,20.6,2.15,1.24,0.93,20.00,3.83,0.23
40-60,CTL,3,12.9,3.61,2.08,1.05,20.00,2.70,0.44
60-100,CTL,3,6.3,1.48,0.85,1.17,40.00,2.94,0.40
0-10,DL,3,49.4,17.58,10.15,0.65,10.68,3.41,0.66
10-20,DL,3,29.7,3.11,1.80,0.83,10.00,2.45,0.15
20-40,DL,3,19.2,2.95,1.70,0.93,20.00,3.57,0.32
40-60,DL,3,10.9,2.04,1.18,1.05,20.00,2.27,0.25
60-100,DL,3,8.1,2.72,1.57,1.17,40.00,3.77,0.73
0-10,DW,3,61.8,21.89,12.64,0.50,12.24,3.74,0.63
10-20,DW,3,34.6,21.13,12.20,0.83,10.00,2.85,1.01
20-40,DW,3,23.4,8.89,5.13,0.93,20.00,4.35,0.95
40-60,DW,3,13.5,6.17,3.56,1.05,20.00,2.81,0.74
60-100,DW,3,8.3,3.93,2.27,1.17,40.00,3.87,1.06
0-10,NI,3,41.4,5.32,3.07,0.79,7.64,2.51,0.24
10-20,NI,3,25.1,7.62,4.40,0.83,10.00,2.07,0.36
20-40,NI,3,15.1,4.97,2.87,0.93,20.00,2.81,0.53
40-60,NI,3,7.2,1.11,0.64,1.05,20.00,1.50,0.13
60-100,NI,3,4.1,1.81,1.05,1.17,40.00,1.93,0.49
0-10,NL,3,47.2,8.80,5.08,0.74,8.17,2.86,0.38
10-20,NL,3,23.9,4.63,2.67,0.83,10.00,1.97,0.22
20-40,NL,3,18.0,4.23,2.44,0.93,20.00,3.35,0.45
40-60,NL,3,11.5,5.17,2.99,1.05,20.00,2.40,0.62
60-100,NL,3,4.9,2.05,1.19,1.17,40.00,2.30,0.55
0-10,NOA,3,22.8,7.87,4.54,0.84,10.00,1.90,0.38
10-20,NOA,3,21.7,10.72,6.19,0.83,10.00,1.79,0.51
20-40,NOA,3,17.4,5.48,3.16,0.93,20.00,3.24,0.59
40-60,NOA,3,12.0,2.10,1.21,1.05,20.00,2.50,0.25
60-100,NOA,3,5.6,1.70,0.98,1.17,40.00,2.59,0.46
0-10,NR,3,50.6,9.07,5.24,0.78,7.81,3.07,0.41
10-20,NR,3,27.9,1.99,1.15,0.83,10.00,2.30,0.09
20-40,NR,3,20.9,2.97,1.72,0.93,20.00,3.89,0.32
40-60,NR,3,9.1,1.03,0.59,1.05,20.00,1.91,0.12
60-100,NR,3,4.6,1.01,0.58,1.17,40.00,2.16,0.27
