"","diff","lwr","upr","p adj"
"DL-CTL",0.041134799194373,-0.226002621343225,0.308272219731971,0.997931020372265
"DW-CTL",-0.110906659362025,-0.378044079899623,0.156230761175573,0.784432188836901
"NI-CTL",0.186443644203641,-0.0806937763339566,0.45358106474124,0.273942424249652
"NL-CTL",0.136102073382265,-0.131035347155333,0.403239493919864,0.603545749621617
"NOA-CTL",0.229737091604425,-0.037400328933173,0.496874512142023,0.11462220565901
"NR-CTL",0.169323697664241,-0.0978137228733572,0.436461118201839,0.370594240293317
"DW-DL",-0.152041458556398,-0.419178879093996,0.1150959619812,0.486381306512819
"NI-DL",0.145308845009268,-0.12182857552833,0.412446265546867,0.53514510282897
"NL-DL",0.0949672741878924,-0.172170146349706,0.362104694725491,0.877581605304426
"NOA-DL",0.188602292410052,-0.078535128127546,0.45573971294765,0.263169556775085
"NR-DL",0.128188898469868,-0.13894852206773,0.395326319007466,0.662522956781924
"NI-DW",0.297350303565667,0.0302128830280687,0.564487724103265,0.0249432421880554
"NL-DW",0.247008732744291,-0.0201286877933073,0.514146153281889,0.0786162532561937
"NOA-DW",0.34064375096645,0.0735063304288524,0.607781171504049,0.00910334382456779
"NR-DW",0.280230357026266,0.0130929364886682,0.547367777563864,0.0370542687910876
"NL-NI",-0.050341570821376,-0.317478991358974,0.216795849716222,0.993824332351954
"NOA-NI",0.0432934474007837,-0.223843973136814,0.310430867938382,0.997259666281828
"NR-NI",-0.0171199465394005,-0.284257367076999,0.250017473998198,0.99998682164559
"NOA-NL",0.0936350182221597,-0.173502402315438,0.360772438759758,0.884196288048055
"NR-NL",0.0332216242819755,-0.233915796255623,0.300359044819574,0.999375241027861
"NR-NOA",-0.0604133939401842,-0.327550814477782,0.206724026597414,0.984157108366329
