"","diff","lwr","upr","p adj"
"DL-CTL",-1.29,-5.41520217177763,2.83520217177763,0.891496120654037
"DW-CTL",0.00999999999999623,-4.11520217177763,4.13520217177763,0.999999999993395
"NI-CTL",-2.78666666666667,-6.9118688384443,1.33853550511096,0.277177974108994
"NL-CTL",-2.96333333333334,-7.08853550511097,1.1618688384443,0.225724904047613
"NR-CTL",-2.31333333333334,-6.43853550511097,1.81186883844429,0.454924765352635
"DW-DL",1.3,-2.82520217177763,5.42520217177763,0.888459021699199
"NI-DL",-1.49666666666667,-5.6218688384443,2.62853550511097,0.820102059420725
"NL-DL",-1.67333333333333,-5.79853550511096,2.4518688384443,0.747075312637443
"NR-DL",-1.02333333333333,-5.14853550511096,3.1018688384443,0.95525825870919
"NI-DW",-2.79666666666667,-6.9218688384443,1.32853550511097,0.274045208364908
"NL-DW",-2.97333333333333,-7.09853550511096,1.1518688384443,0.223055781348159
"NR-DW",-2.32333333333333,-6.44853550511096,1.8018688384443,0.450626919994647
"NL-NI",-0.176666666666667,-4.3018688384443,3.94853550511096,0.99998874557595
"NR-NI",0.473333333333333,-3.6518688384443,4.59853550511096,0.99859258770788
"NR-NL",0.649999999999999,-3.47520217177763,4.77520217177763,0.993776253171471
