"","diff","lwr","upr","p adj"
"DL-CTL",-0.136666666666667,-1.52566492009283,1.25233158675949,0.999837255992469
"DW-CTL",0.280000000000001,-1.10899825342616,1.66899825342616,0.991202324316667
"NI-CTL",-0.543333333333333,-1.93233158675949,0.845664920092828,0.824777473292193
"NL-CTL",-0.253333333333333,-1.64233158675949,1.13566492009283,0.9948100632273
"NOA-CTL",-0.316666666666666,-1.70566492009283,1.07233158675949,0.983503496487332
"NR-CTL",0.0366666666666666,-1.35233158675949,1.42566492009283,0.99999993325098
"DW-DL",0.416666666666667,-0.972331586759493,1.80566492009283,0.939657858678053
"NI-DL",-0.406666666666666,-1.79566492009283,0.982331586759495,0.945824014140735
"NL-DL",-0.116666666666666,-1.50566492009283,1.27233158675949,0.99993525718868
"NOA-DL",-0.18,-1.56899825342616,1.20899825342616,0.999211017298169
"NR-DL",0.173333333333333,-1.21566492009283,1.56233158675949,0.999362913263416
"NI-DW",-0.823333333333333,-2.21233158675949,0.565664920092827,0.442330727878168
"NL-DW",-0.533333333333334,-1.92233158675949,0.855664920092827,0.836171595948904
"NOA-DW",-0.596666666666667,-1.98566492009283,0.792331586759493,0.758692832082326
"NR-DW",-0.243333333333334,-1.63233158675949,1.14566492009283,0.995818165605887
"NL-NI",0.289999999999999,-1.09899825342616,1.67899825342616,0.989449189153664
"NOA-NI",0.226666666666666,-1.16233158675949,1.61566492009283,0.997154268833874
"NR-NI",0.579999999999999,-0.808998253426161,1.96899825342616,0.780214867505041
"NOA-NL",-0.0633333333333332,-1.45233158675949,1.32566492009283,0.999998253360089
"NR-NL",0.29,-1.09899825342616,1.67899825342616,0.989449189153664
"NR-NOA",0.353333333333333,-1.03566492009283,1.74233158675949,0.971770426091305
