,ï..Year,TX_Year,Plot,Treatment,Trt,Type,Depth,percC,percN,CtoN,X
1,2007,10,14,Control,CTL,CTL,0-10cm,6.43,0.115,55.8,NA
2,2007,10,12,Control,CTL,CTL,0-10cm,8.72,0.284,30.7,NA
3,2007,10,8,Control,CTL,CTL,0-10cm,2.97,0.221,13.4,NA
19,2012,15,8,Control,CTL,CTL,0-10cm,6.21,0.214,29.1,NA
20,2012,15,12,Control,CTL,CTL,0-10cm,11.03,0.351,31.4,NA
21,2012,15,14,Control,CTL,CTL,0-10cm,5.07,0.213,23.7,NA
40,2012,15,8,Control,CTL,CTL,10-20cm,3.89,0.163,23.8,NA
41,2012,15,12,Control,CTL,CTL,10-20cm,4.28,0.193,22.2,NA
42,2012,15,14,Control,CTL,CTL,10-20cm,3.58,0.126,28.4,NA
68,2017,20,8,Control,CTL,CTL,0-10cm,4.84,0.186,26,NA
72,2017,20,12,Control,CTL,CTL,0-10cm,6.41,0.199,32.2,NA
74,2017,20,14,Control,CTL,CTL,0-10cm,3.66,0.131,27.9,NA
89,2017,20,8,Control,CTL,CTL,10-20cm,2.01,0.12,16.8,NA
93,2017,20,12,Control,CTL,CTL,10-20cm,2.94,0.143,20.6,NA
95,2017,20,14,Control,CTL,CTL,10-20cm,1.95,0.096,20.3,NA
108,2017,20,14,Control,CTL,CTL,20-40cm,1.89,0.108,17.5,NA
110,2017,20,12,Control,CTL,CTL,20-40cm,2.3,0.128,18,NA
120,2017,20,8,Control,CTL,CTL,20-40cm,1.98,0.127,15.6,NA
131,2017,20,8,Control,CTL,CTL,40-60cm,1.19,0.074,16.1,NA
135,2017,20,12,Control,CTL,CTL,40-60cm,1.69,0.107,15.8,NA
137,2017,20,14,Control,CTL,CTL,40-60cm,0.99,0.069,14.3,NA
152,2017,20,8,Control,CTL,CTL,60-100cm,0.56,0.043,13,NA
156,2017,20,12,Control,CTL,CTL,60-100cm,0.8,0.056,14.3,NA
158,2017,20,14,Control,CTL,CTL,60-100cm,0.53,0.035,15.1,NA
4,2007,10,2,Double Litter,DL,ADD,0-10cm,4.04,0.189,21.4,NA
5,2007,10,17,Double Litter,DL,ADD,0-10cm,6.59,0.224,29.4,NA
6,2007,10,13,Double Litter,DL,ADD,0-10cm,3.62,0.155,23.4,NA
22,2012,15,2,Double Litter,DL,ADD,0-10cm,4.7,0.182,25.9,NA
23,2012,15,13,Double Litter,DL,ADD,0-10cm,5.44,0.218,24.9,NA
24,2012,15,17,Double Litter,DL,ADD,0-10cm,6.13,0.264,23.2,NA
43,2012,15,2,Double Litter,DL,ADD,10-20cm,4.51,0.182,24.8,NA
44,2012,15,13,Double Litter,DL,ADD,10-20cm,3.11,0.127,24.6,NA
45,2012,15,17,Double Litter,DL,ADD,10-20cm,3.08,0.15,20.5,NA
62,2017,20,2,Double Litter,DL,ADD,0-10cm,3.59,0.175,20.5,NA
73,2017,20,13,Double Litter,DL,ADD,0-10cm,4.31,0.195,22.1,NA
77,2017,20,17,Double Litter,DL,ADD,0-10cm,6.93,0.275,25.2,NA
83,2017,20,2,Double Litter,DL,ADD,10-20cm,3.04,0.16,19,NA
94,2017,20,13,Double Litter,DL,ADD,10-20cm,3.24,0.15,21.6,NA
98,2017,20,17,Double Litter,DL,ADD,10-20cm,2.63,0.158,16.6,NA
105,2017,20,17,Double Litter,DL,ADD,20-40cm,1.91,0.116,16.5,NA
109,2017,20,13,Double Litter,DL,ADD,20-40cm,1.63,0.093,17.5,NA
116,2017,20,2,Double Litter,DL,ADD,20-40cm,2.22,0.129,17.2,NA
125,2017,20,2,Double Litter,DL,ADD,40-60cm,1.32,0.085,15.5,NA
136,2017,20,13,Double Litter,DL,ADD,40-60cm,0.94,0.05,18.8,NA
140,2017,20,17,Double Litter,DL,ADD,40-60cm,1,0.066,15.2,NA
146,2017,20,2,Double Litter,DL,ADD,60-100cm,1.01,0.057,17.7,NA
157,2017,20,13,Double Litter,DL,ADD,60-100cm,0.5,0.033,15.2,NA
161,2017,20,17,Double Litter,DL,ADD,60-100cm,0.92,0.068,13.5,NA
7,2007,10,10,Double Wood,DW,ADD,0-10cm,5.74,0.246,23.3,NA
8,2007,10,16,Double Wood,DW,ADD,0-10cm,7.64,0.169,45.3,NA
9,2007,10,5,Double Wood,DW,ADD,0-10cm,4.77,0.189,25.2,NA
25,2012,15,5,Double Wood,DW,ADD,0-10cm,4.3,0.179,24,NA
26,2012,15,10,Double Wood,DW,ADD,0-10cm,5.63,0.185,30.5,NA
27,2012,15,16,Double Wood,DW,ADD,0-10cm,9.85,0.331,29.7,NA
46,2012,15,5,Double Wood,DW,ADD,10-20cm,2.58,0.087,29.8,NA
47,2012,15,10,Double Wood,DW,ADD,10-20cm,4.8,0.168,28.6,NA
48,2012,15,16,Double Wood,DW,ADD,10-20cm,4.98,0.175,28.5,NA
65,2017,20,5,Double Wood,DW,ADD,0-10cm,3.73,0.16,23.3,NA
70,2017,20,10,Double Wood,DW,ADD,0-10cm,6.85,0.233,29.4,NA
76,2017,20,16,Double Wood,DW,ADD,0-10cm,7.95,0.265,30,NA
86,2017,20,5,Double Wood,DW,ADD,10-20cm,2.23,0.122,18.3,NA
91,2017,20,10,Double Wood,DW,ADD,10-20cm,2.25,0.101,22.3,NA
97,2017,20,16,Double Wood,DW,ADD,10-20cm,5.9,0.19,31.1,NA
106,2017,20,16,Double Wood,DW,ADD,20-40cm,3.32,0.167,19.9,NA
113,2017,20,5,Double Wood,DW,ADD,20-40cm,2.1,0.123,17.1,NA
122,2017,20,10,Double Wood,DW,ADD,20-40cm,1.59,0.094,16.9,NA
128,2017,20,5,Double Wood,DW,ADD,40-60cm,0.83,0.059,14.1,NA
133,2017,20,10,Double Wood,DW,ADD,40-60cm,1.18,0.066,17.9,NA
139,2017,20,16,Double Wood,DW,ADD,40-60cm,2.03,0.101,20.1,NA
149,2017,20,5,Double Wood,DW,ADD,60-100cm,0.47,0.033,14.2,NA
154,2017,20,10,Double Wood,DW,ADD,60-100cm,0.77,0.056,13.8,NA
160,2017,20,16,Double Wood,DW,ADD,60-100cm,1.25,0.082,15.2,NA
10,2007,10,69,No Input,NI,RMV,0-10cm,2.95,0.149,19.8,NA
11,2007,10,49,No Input,NI,RMV,0-10cm,3.03,0.129,23.4,NA
12,2007,10,19,No Input,NI,RMV,0-10cm,3.78,0.133,28.3,NA
28,2012,15,19,No Input,NI,RMV,0-10cm,4.58,0.191,23.9,NA
29,2012,15,49,No Input,NI,RMV,0-10cm,3.63,0.168,21.6,NA
30,2012,15,69,No Input,NI,RMV,0-10cm,4.93,0.203,24.3,NA
49,2012,15,19,No Input,NI,RMV,10-20cm,3.4,0.135,25.2,NA
50,2012,15,49,No Input,NI,RMV,10-20cm,2.3,0.102,22.4,NA
51,2012,15,69,No Input,NI,RMV,10-20cm,3.42,0.135,25.4,NA
79,2017,20,19,No Input,NI,RMV,0-10cm,4.74,0.188,25.2,NA
80,2017,20,49,No Input,NI,RMV,0-10cm,3.72,0.156,23.8,NA
81,2017,20,69,No Input,NI,RMV,0-10cm,3.97,0.176,22.6,NA
100,2017,20,19,No Input,NI,RMV,10-20cm,2.69,0.145,18.6,NA
101,2017,20,49,No Input,NI,RMV,10-20cm,1.67,0.151,11.1,NA
102,2017,20,69,No Input,NI,RMV,10-20cm,3.16,0.164,19.3,NA
103,2017,20,19,No Input,NI,RMV,20-40cm,2.06,0.104,19.8,NA
111,2017,20,69,No Input,NI,RMV,20-40cm,1.39,0.093,14.9,NA
112,2017,20,49,No Input,NI,RMV,20-40cm,1.09,0.075,14.5,NA
142,2017,20,19,No Input,NI,RMV,40-60cm,0.82,0.048,17.1,NA
143,2017,20,49,No Input,NI,RMV,40-60cm,0.6,0.045,13.3,NA
144,2017,20,69,No Input,NI,RMV,40-60cm,0.73,0.047,15.5,NA
