"","diff","lwr","upr","p adj"
"DL-CTL",0.043,-0.0578939140949676,0.143893914094968,0.764818790803874
"DW-CTL",0.0473333333333333,-0.0535605807616343,0.148227247428301,0.683612571589612
"NI-CTL",0.00133333333333333,-0.0995605807616343,0.102227247428301,0.999999998943451
"NL-CTL",0.0196666666666667,-0.0812272474283009,0.120560580761634,0.992619539785573
"NOA-CTL",-0.061,-0.161893914094968,0.0398939140949676,0.420959088934917
"NR-CTL",0.0546666666666667,-0.0462272474283009,0.155560580761634,0.539318652302805
"DW-DL",0.00433333333333333,-0.0965605807616343,0.105227247428301,0.999998776941314
"NI-DL",-0.0416666666666667,-0.142560580761634,0.0592272474283009,0.788256958698913
"NL-DL",-0.0233333333333333,-0.124227247428301,0.0775605807616343,0.982282313726124
"NOA-DL",-0.104,-0.204893914094968,-0.00310608590503239,0.0414377137650623
"NR-DL",0.0116666666666667,-0.0892272474283009,0.112560580761634,0.999587413627616
"NI-DW",-0.046,-0.146893914094968,0.0548939140949676,0.709252025560749
"NL-DW",-0.0276666666666667,-0.128560580761634,0.0732272474283009,0.959784744921465
"NOA-DW",-0.108333333333333,-0.209227247428301,-0.00743941923836572,0.0318210563177211
"NR-DW",0.00733333333333336,-0.0935605807616342,0.108227247428301,0.999972300971888
"NL-NI",0.0183333333333333,-0.0825605807616343,0.119227247428301,0.994912067898479
"NOA-NI",-0.0623333333333333,-0.163227247428301,0.0385605807616343,0.397757562623991
"NR-NI",0.0533333333333334,-0.0475605807616342,0.154227247428301,0.56543613034911
"NOA-NL",-0.0806666666666667,-0.181560580761634,0.020227247428301,0.16098696564548
"NR-NL",0.035,-0.0658939140949676,0.135893914094968,0.888864508561215
"NR-NOA",0.115666666666667,0.0147727525716991,0.216560580761634,0.0202817040746384
