DNPF,Plot,Treatment,TRT,Depth,LF_wt,LF_percC,IF_wt,IF_percC,HF_wt,HF_percC,IFHF_wt,IFHF_C_wt,IFHF_percC
8,8,Control,CTL,0-10,5.05,21.26,12.37,2.99,20.02,1.1,32.390,0.590,1.822
12,12,Control,CTL,0-10,3.92,19.92,10.83,3.69,21.29,1.11,32.120,0.636,1.980
14,14,Control,CTL,0-10,3.77,22.77,9.8,2.42,23.73,0.77,33.530,0.420,1.252
2,2,Double Litter,DL,0-10,2.77,31.34,11.89,4.17,23.14,1.22,35.030,0.778,2.221
13,13,Double Litter,DL,0-10,4.79,22.43,10.66,3.26,21.86,1.1,32.520,0.588,1.808
17,17,Double Litter,DL,0-10,5.31,23.64,7.77,7.17,29.32,0.99,37.090,0.847,2.285
5,5,Double Wood,DW,0-10,4.71,23.65,8.65,2.84,25.13,0.89,33.780,0.469,1.389
10,10,Double Wood,DW,0-10,13.85,17.55,10.04,2.24,11.85,0.56,21.890,0.291,1.331
16,16,Double Wood,DW,0-10,17.98,18.54,8.83,4.7,9.19,1.09,18.020,0.515,2.859
19,19,No Input,NI,0-10,4,27.09,5.18,5.8,28.51,1.33,33.690,0.680,2.017
20,49,No Input,NI,0-10,2.4,28.47,6.07,4.35,23.52,1.43,29.590,0.600,2.029
21,69,No Input,NI,0-10,3.79,27.15,6.04,6.45,27.71,1.44,33.750,0.789,2.337
3,3,No Litter,NL,0-10,4.08,32.9,9.77,5.23,23.8,1.03,33.570,0.756,2.252
7,7,No Litter,NL,0-10,5.42,26.65,8.9,3.94,23.24,1.06,32.140,0.597,1.858
11,11,No Litter,NL,0-10,5.11,21.43,11.34,2.63,19.52,0.82,30.860,0.458,1.485
9,9,No OA,NOA,0-10,1.02,24.3,9.21,1.53,26.43,0.35,35.640,0.233,0.655
15,15,No OA,NOA,0-10,1.35,25.35,5.85,3.21,30.41,0.61,36.260,0.373,1.029
18,18,No OA,NOA,0-10,3.72,19.74,9.31,2.52,23.7,0.49,33.010,0.351,1.063
1,1,No Root,NR,0-10,3.77,31.81,12.9,4.58,20.8,1.45,33.700,0.892,2.648
4,4,No Root,NR,0-10,2.18,31.78,7.06,3.83,29.19,1.09,36.250,0.589,1.624
6,6,No Root,NR,0-10,5.88,26.39,8.73,5.13,23.69,1.38,32.420,0.775,2.390
29,8,Control,CTL,10-20,1.08,26.32,11.57,1.83,23.15,0.88,34.720,0.415,1.197
33,12,Control,CTL,10-20,1.61,23.74,9.21,3.52,25.45,1.03,34.660,0.586,1.692
35,14,Control,CTL,10-20,1.24,27.48,6.26,3.06,30.13,0.68,36.390,0.396,1.089
23,2,Double Litter,DL,10-20,1.44,24.65,7.6,3.87,28.38,1.12,35.980,0.612,1.701
34,13,Double Litter,DL,10-20,2.3,22.84,11.04,2.59,23.7,0.84,34.740,0.485,1.396
38,17,Double Litter,DL,10-20,0.99,30.09,6.09,4.18,31.04,1.11,37.130,0.599,1.614
26,5,Double Wood,DW,10-20,1.94,26.64,8.16,3.1,28.26,0.93,36.420,0.516,1.416
31,10,Double Wood,DW,10-20,2.04,24.65,11.16,1.61,22.9,0.63,34.060,0.324,0.951
37,16,Double Wood,DW,10-20,4.2,29.8,8.36,5.61,25.3,1.46,33.660,0.838,2.491
40,19,No Input,NI,10-20,1.17,30.61,4.17,4.52,33.38,0.95,37.550,0.506,1.346
41,49,No Input,NI,10-20,0.43,31.97,5.4,2.21,31.63,0.55,37.030,0.293,0.792
42,69,No Input,NI,10-20,2.01,27.13,5.2,5.16,30.88,0.85,36.080,0.531,1.471
24,3,No Litter,NL,10-20,1.7,22.54,7.11,3.34,27.75,1.17,34.860,0.562,1.613
28,7,No Litter,NL,10-20,0.64,26.37,8.62,2.32,28.02,0.76,36.640,0.413,1.127
32,11,No Litter,NL,10-20,1.68,21.61,13,1.92,21.76,0.73,34.760,0.408,1.175
30,9,No OA,NOA,10-20,0.66,25.21,7.96,1.51,27.78,0.3,35.740,0.204,0.569
36,15,No OA,NOA,10-20,0.94,30.65,7.2,2.42,29.76,0.58,36.960,0.347,0.938
39,18,No OA,NOA,10-20,2.54,22.03,11.24,2.89,23.39,0.51,34.630,0.444,1.282
22,1,No Root,NR,10-20,1.09,25.09,6.51,4.93,30.11,1.29,36.620,0.709,1.937
25,4,No Root,NR,10-20,1.3,28.81,8.09,4.15,28.99,0.96,37.080,0.614,1.656
27,6,No Root,NR,10-20,0.99,28.88,8.58,3.72,27.22,1.16,35.800,0.635,1.774
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
