PLOT,TRT,SIZE_FRAC,litter_wt
1,NR,<6.3 mm,116.74
1,NR,>6.3 mm,53.37
2,DL,<6.3 mm,166.08
2,DL,>6.3 mm,67.34
4,NR,<6.3 mm,89.64
4,NR,>6.3 mm,61.81
5,DW,<6.3 mm,211.66
5,DW,>6.3 mm,107.03
6,NR,<6.3 mm,108.65
6,NR,>6.3 mm,43.13
8,CTL,<6.3 mm,200.86
8,CTL,>6.3 mm,69.58
10,DW,<6.3 mm,314.4
10,DW,>6.3 mm,118.02
12,CTL,<6.3 mm,180.34
12,CTL,>6.3 mm,86.84
13,DL,<6.3 mm,320.07
13,DL,>6.3 mm,70.68
14,CTL,<6.3 mm,92.59
14,CTL,>6.3 mm,61.07
16,DW,<6.3 mm,280.05
16,DW,>6.3 mm,81.43
17,DL,<6.3 mm,114.71
17,DL,>6.3 mm,60.7
