JAR,AMENDMENT,TRT,DAY,HOUR,X12C,X13C
7,CELLULOSE,CTL,50,1196,,
8,CELLULOSE,CTL,50,1196,969.3611247,5.360114811
9,CELLULOSE,CTL,50,1196,690.4055422,3.693728766
25,OXALATE,CTL,50,1196,734.7735456,15.67551552
26,OXALATE,CTL,50,1196,927.8328679,13.3462833
27,OXALATE,CTL,50,1196,684.6567086,11.88949794
34,PHENOL,CTL,50,1196,775.5072125,5.230615316
35,PHENOL,CTL,50,1196,798.0492186,5.538421457
36,PHENOL,CTL,50,1196,838.5296314,5.662484372
43,CELLULOSE,DW,50,1196,1161.467412,4.198330197
44,CELLULOSE,DW,50,1196,923.6919635,7.833113479
45,CELLULOSE,DW,50,1196,1341.002054,4.559008535
61,OXALATE,DW,50,1196,1256.168359,15.49890282
62,OXALATE,DW,50,1196,1194.806797,16.51750512
63,OXALATE,DW,50,1196,1325.183635,14.52016259
70,PHENOL,DW,50,1196,1304.774892,8.963482061
71,PHENOL,DW,50,1196,1471.361835,8.712279077
72,PHENOL,DW,50,1196,1256.776247,8.140255156
79,CELLULOSE,DL,50,1196,,
80,CELLULOSE,DL,50,1196,875.2718249,4.398984937
81,CELLULOSE,DL,50,1196,992.4947395,5.189690595
97,OXALATE,DL,50,1196,951.9656445,13.84534181
98,OXALATE,DL,50,1196,,
99,OXALATE,DL,50,1196,1154.9039,13.11844457
106,PHENOL,DL,50,1196,1042.03734,6.373567169
107,PHENOL,DL,50,1196,905.3644709,5.658590381
108,PHENOL,DL,50,1196,928.02258,5.711873043
115,CELLULOSE,NI,50,1196,630.1293826,9.061544897
116,CELLULOSE,NI,50,1196,596.1710887,8.777063764
117,CELLULOSE,NI,50,1196,621.9973823,9.680702193
133,OXALATE,NI,50,1196,580.0560438,15.53757441
134,OXALATE,NI,50,1196,500.6440219,14.31099957
135,OXALATE,NI,50,1196,499.2793103,13.53216805
142,PHENOL,NI,50,1196,674.2351366,6.275942354
143,PHENOL,NI,50,1196,660.3391329,6.123874111
144,PHENOL,NI,50,1196,513.0769799,4.971104032
151,CELLULOSE,NR,50,1196,738.1155516,6.076450456
152,CELLULOSE,NR,50,1196,913.4675871,6.985198707
153,CELLULOSE,NR,50,1196,658.8931335,4.555882017
169,OXALATE,NR,50,1196,786.2904161,15.13886612
170,OXALATE,NR,50,1196,1050.828437,16.32624008
171,OXALATE,NR,50,1196,899.3151623,15.21056703
178,PHENOL,NR,50,1196,749.7138249,5.452905917
179,PHENOL,NR,50,1196,689.4865775,5.050490955
180,PHENOL,NR,50,1196,,
