"","diff","lwr","upr","p adj"
"DL-CTL",0.0438888888888884,-0.58525683892945,0.673034616707227,0.999978253951378
"DW-CTL",0.634888888888889,0.00574316107054984,1.26403461670723,0.0472983010097213
"NI-CTL",-0.320888888888889,-0.950034616707228,0.308256838929449,0.602435990329379
"NL-CTL",-0.221,-0.850145727818339,0.408145727818338,0.883204474652786
"NOA-CTL",-0.141444444444445,-0.770590172262784,0.487701283373894,0.984620241025577
"NR-CTL",-0.351222222222223,-0.980367950040561,0.277923505596116,0.507282031936582
"DW-DL",0.591,-0.0381457278183385,1.22014572781834,0.0720337204033256
"NI-DL",-0.364777777777778,-0.993923505596116,0.264367950040561,0.466286144662265
"NL-DL",-0.264888888888889,-0.894034616707228,0.36425683892945,0.774077885445886
"NOA-DL",-0.185333333333333,-0.814479061151672,0.443812394485006,0.944320354229611
"NR-DL",-0.395111111111111,-1.02425683892945,0.234034616707228,0.3803458599907
"NI-DW",-0.955777777777778,-1.58492350559612,-0.326632049959439,0.00203900079953989
"NL-DW",-0.855888888888889,-1.48503461670723,-0.22674316107055,0.00537010939557314
"NOA-DW",-0.776333333333334,-1.40547906115167,-0.147187605514995,0.0117629164287584
"NR-DW",-0.986111111111111,-1.61525683892945,-0.356965383292772,0.00152724693105344
"NL-NI",0.0998888888888888,-0.52925683892945,0.729034616707228,0.997551413461162
"NOA-NI",0.179444444444444,-0.449701283373894,0.808590172262783,0.951840947080574
"NR-NI",-0.0303333333333333,-0.659479061151672,0.598812394485005,0.999997565011689
"NOA-NL",0.0795555555555556,-0.549590172262783,0.708701283373894,0.999313310433626
"NR-NL",-0.130222222222222,-0.759367950040561,0.498923505596117,0.989910320725767
"NR-NOA",-0.209777777777778,-0.838923505596116,0.419367950040561,0.905322091909333
