"","Trt","Plot","root_mean"
"1","CTL",8,0.251666666666667
"2","CTL",12,0.599
"3","CTL",14,0.445666666666667
"4","DL",2,0.761333333333333
"5","DL",13,0.627
"6","DL",17,0.0396666666666667
"7","DW",5,1.37533333333333
"8","DW",10,1.153
"9","DW",16,0.672666666666667
"10","NI",19,0.0136666666666667
"11","NI",49,0.274333333333333
"12","NI",69,0.0456666666666667
"13","NL",3,0.217
"14","NL",7,0.199666666666667
"15","NL",11,0.216666666666667
"16","NOA",9,0.449
"17","NOA",15,0.29
"18","NOA",18,0.133
"19","NR",1,0.145333333333333
"20","NR",4,0.0873333333333333
"21","NR",6,0.01
