DNPF,Plot,Treatment,TRT,Depth,Dfrac_smpl_wt,tot_percC_frac_calc,frac_return wt,frac_wt_return,tot_bulk_C_calc,LF_wt,LF_percC,LF_percN,LF_CtoN,LF_Cstk,IF_wt,IF_percC,IF_percN,IF_CtoN,IF_Cstk,HF_wt,HF_percC,HF_percN,HF_CtoN,HF_Cstk,LF_PROP,IF_PROP,HF_PROP
1,1,No Root,NR,0-10,40.198,5.58,37.47,0.93,2.09,3.77,31.81,0.79,40.22,32.012,12.9,4.58,0.3,15.16,15.765,20.8,1.45,0.1,14.33,8.031,0.1,0.34,0.56
2,2,Double Litter,DL,0-10,40.002,4.36,37.8,0.95,1.65,2.77,31.34,0.86,36.61,22.985,11.89,4.17,0.3,14,13.124,23.14,1.22,0.08,14.48,7.4429,0.07,0.31,0.61
3,3,No Litter,NL,0-10,40.032,5.58,37.65,0.94,2.1,4.08,32.9,0.78,42.45,35.683,9.77,5.23,0.31,16.86,13.557,23.8,1.03,0.07,14.15,6.5303,0.11,0.26,0.63
4,4,No Root,NR,0-10,40.175,3.33,38.43,0.96,1.28,2.18,31.78,0.73,43.65,17.988,7.06,3.83,0.32,12.15,7.033,29.19,1.09,0.1,11.21,8.257,0.06,0.18,0.76
5,5,Double Wood,DW,0-10,40.94,4.11,38.49,0.94,1.58,4.71,23.65,0.53,44.53,28.924,8.65,2.84,0.19,14.96,6.388,25.13,0.89,0.07,12.15,5.7914,0.12,0.22,0.65
6,6,No Root,NR,0-10,40.503,6.08,38.31,0.95,2.33,5.88,26.39,0.59,44.8,40.521,8.73,5.13,0.33,15.4,11.689,23.69,1.38,0.11,13.04,8.5468,0.15,0.23,0.62
7,7,No Litter,NL,0-10,40.18,5.44,37.56,0.93,2.04,5.42,26.65,0.56,47.41,38.448,8.9,3.94,0.28,14.03,9.344,23.24,1.06,0.08,12.78,6.5641,0.14,0.24,0.62
8,8,Control,CTL,0-10,40.522,4.45,37.44,0.92,1.67,5.05,21.26,0.55,38.59,28.702,12.37,2.99,0.19,15.42,9.882,20.02,1.1,0.1,11.5,5.9034,0.13,0.33,0.53
9,9,No OA,NOA,0-10,40.019,1.31,36.66,0.92,0.48,1.02,24.3,0.6,40.7,6.787,9.21,1.53,0.14,11.14,3.834,26.43,0.35,0.03,11.26,2.5158,0.03,0.25,0.72
10,10,Double Wood,DW,0-10,40.309,7.62,35.73,0.89,2.72,13.85,17.55,0.48,36.64,68.004,10.04,2.24,0.16,14.29,6.299,11.85,0.56,0.05,11.49,1.8674,0.39,0.28,0.33
11,11,No Litter,NL,0-10,40.473,4.32,35.98,0.89,1.55,5.11,21.43,0.51,41.78,30.467,11.34,2.63,0.18,14.46,8.293,19.52,0.82,0.06,12.78,4.4388,0.14,0.32,0.54
12,12,Control,CTL,0-10,40.496,3.93,36.04,0.89,1.42,3.92,19.92,0.47,42.48,21.661,10.83,3.69,0.23,15.77,11.095,21.29,1.11,0.09,12.16,6.5387,0.11,0.3,0.59
13,13,Double Litter,DL,0-10,40.448,4.45,37.31,0.92,1.66,4.79,22.43,0.55,40.93,28.777,10.66,3.26,0.22,15.02,9.314,21.86,1.1,0.09,12.67,6.4568,0.13,0.29,0.59
14,14,Control,CTL,0-10,40.031,3.43,37.3,0.93,1.28,3.77,22.77,0.55,41.18,23.033,9.8,2.42,0.16,15.61,6.355,23.73,0.77,0.06,12.06,4.9111,0.1,0.26,0.64
15,15,No OA,NOA,0-10,40.056,1.9,37.61,0.94,0.71,1.35,25.35,0.59,42.68,9.121,5.85,3.21,0.23,14,4.983,30.41,0.61,0.05,13.15,4.8916,0.04,0.16,0.81
16,16,Double Wood,DW,0-10,40.141,10.69,36,0.9,3.85,17.98,18.54,0.56,33.23,92.597,8.83,4.7,0.27,17.2,11.512,9.19,1.09,0.07,15.77,2.7783,0.5,0.25,0.26
17,17,Double Litter,DL,0-10,40.273,4.96,42.39,1.05,2.1,5.31,23.64,0.64,36.99,29.606,7.77,7.17,0.41,17.66,13.136,29.32,0.99,0.09,11.16,6.8672,0.13,0.18,0.69
18,18,No OA,NOA,0-10,40.018,2.95,36.73,0.92,1.08,3.72,19.74,0.6,32.9,19.968,9.31,2.52,0.22,11.71,6.381,23.7,0.49,0.04,11.07,3.1432,0.1,0.25,0.65
19,19,No Input,NI,0-10,40.004,4.68,37.69,0.94,1.76,4,27.09,0.67,40.68,28.752,5.18,5.8,0.36,15.98,7.965,28.51,1.33,0.09,14.5,10.0925,0.11,0.14,0.76
